,title,price,enterprise,link
0,۷۱ متر فول دو خوابه طبقه همکف,"۱,۶۰۰,۰۰۰,۰۰۰ تومان","مشیریه', 'آژانس املاک",https://divar.ir/v/%DB%B7%DB%B1-%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B7%D8%A8%D9%82%D9%87-%D9%87%D9%85%DA%A9%D9%81_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D9%85%D8%B4%DB%8C%D8%B1%DB%8C%D9%87_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYGlPvYo
1,اپارتمان ۶۰ متر تقاطع سبحانی کمیل نرسیده به جیحون,"۱,۶۵۰,۰۰۰,۰۰۰ تومان","مشیریه', 'آژانس املاک",https://divar.ir/v/%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B6%DB%B0-%D9%85%D8%AA%D8%B1-%D8%AA%D9%82%D8%A7%D8%B7%D8%B9-%D8%B3%D8%A8%D8%AD%D8%A7%D9%86%DB%8C-%DA%A9%D9%85%DB%8C%D9%84-%D9%86%D8%B1%D8%B3%DB%8C%D8%AF%D9%87-%D8%A8%D9%87-%D8%AC%DB%8C%D8%AD%D9%88%D9%86_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%AC%DB%8C_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/gYAL0d7u
2,آپارتمان فول بازسازی شده,"۱,۵۳۰,۰۰۰,۰۰۰ تومان","مشیریه', 'آژانس املاک",https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D9%81%D9%88%D9%84-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C-%D8%B4%D8%AF%D9%87_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D9%85%D8%B4%DB%8C%D8%B1%DB%8C%D9%87_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYMpvWl1
3,اپارتمان60 متر دو خواب,"۱,۵۲۰,۰۰۰,۰۰۰ تومان","مشیریه', 'آژانس املاک",https://divar.ir/v/%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%8660-%D9%85%D8%AA%D8%B1-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%AC%DB%8C%D8%AD%D9%88%D9%86_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYM1feLl
4,2خوابه ۶۴ متری,"۱,۵۵۰,۰۰۰,۰۰۰ تومان","مشیریه', 'آژانس املاک",https://divar.ir/v/2%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%DB%B6%DB%B4-%D9%85%D8%AA%D8%B1%DB%8C_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%A8%D8%B1%DB%8C%D8%A7%D9%86%DA%A9_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYCRZaJe
5,۵۷متر/دو خواب/منیریه,"۱,۶۲۴,۰۰۰,۰۰۰ تومان","مشیریه', 'آژانس املاک",https://divar.ir/v/%DB%B5%DB%B7%D9%85%D8%AA%D8%B1-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8-%D9%85%D9%86%DB%8C%D8%B1%DB%8C%D9%87_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D9%85%D9%86%DB%8C%D8%B1%DB%8C%D9%87_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYM1PZCV
6,آپارتمان . ۶۹ متری. دو خواب,"۱,۵۱۵,۰۰۰,۰۰۰ تومان","مشیریه', 'آژانس املاک",https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B6%DB%B9-%D9%85%D8%AA%D8%B1%DB%8C-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D9%81%D9%84%D8%A7%D8%AD_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYFFDp1S
7,67متر/2خواب/پارکینگدار/سرمایه گذاری/بوستان سعدی,"۱,۷۰۰,۰۰۰,۰۰۰ تومان","مشیریه', 'آژانس املاک",https://divar.ir/v/67%D9%85%D8%AA%D8%B1-2%D8%AE%D9%88%D8%A7%D8%A8-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF%D8%AF%D8%A7%D8%B1-%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87-%DA%AF%D8%B0%D8%A7%D8%B1%DB%8C-%D8%A8%D9%88%D8%B3%D8%AA%D8%A7%D9%86-%D8%B3%D8%B9%D8%AF%DB%8C_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%B3%D9%84%D8%B3%D8%A8%DB%8C%D9%84_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYLVOWi5
8,مخصوص (عارف),"۱,۶۰۰,۰۰۰,۰۰۰ تومان","مشیریه', 'آژانس املاک",https://divar.ir/v/%D9%85%D8%AE%D8%B5%D9%88%D8%B5-%D8%B9%D8%A7%D8%B1%D9%81-_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D9%85%D8%AE%D8%B5%D9%88%D8%B5_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYNVgVbo
9,آپارتمان ۷۵ متر گلبرگ شمالی,"۱,۷۵۰,۰۰۰,۰۰۰ تومان","مشیریه', 'آژانس املاک",https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B7%DB%B5-%D9%85%D8%AA%D8%B1-%DA%AF%D9%84%D8%A8%D8%B1%DA%AF-%D8%B4%D9%85%D8%A7%D9%84%DB%8C_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%AF%D9%88%D9%84%D8%AA-%D8%A2%D8%A8%D8%A7%D8%AF_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wY7wenHf
10,۶۴ متری ۲ خوابه *نورگیر / رو به نما / سند تک برگ*,"۱,۵۶۰,۰۰۰,۰۰۰ تومان","مشیریه', 'آژانس املاک",https://divar.ir/v/%DB%B6%DB%B4-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D9%86%D9%88%D8%B1%DA%AF%DB%8C%D8%B1-%D8%B1%D9%88-%D8%A8%D9%87-%D9%86%D9%85%D8%A7-%D8%B3%D9%86%D8%AF-%D8%AA%DA%A9-%D8%A8%D8%B1%DA%AF-_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%A7%D9%86%D8%AF%DB%8C%D8%B4%D9%87-%D8%B4%D9%87%D8%B1-%D8%B2%DB%8C%D8%A8%D8%A7-_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYNpAkDU
11,۷۲ متری آسانسور و پارکینگ اختصاصی سند دار,"۱,۷۰۰,۰۰۰,۰۰۰ تومان","مشیریه', 'آژانس املاک",https://divar.ir/v/%DB%B7%DB%B2-%D9%85%D8%AA%D8%B1%DB%8C-%D8%A2%D8%B3%D8%A7%D9%86%D8%B3%D9%88%D8%B1-%D9%88-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%A7%D8%AE%D8%AA%D8%B5%D8%A7%D8%B5%DB%8C-%D8%B3%D9%86%D8%AF-%D8%AF%D8%A7%D8%B1_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%A7%D9%86%D8%AF%DB%8C%D8%B4%D9%87-%D8%B4%D9%87%D8%B1-%D8%B2%DB%8C%D8%A8%D8%A7-_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYHh8S_K
12,آپارتمان خانی آبادنو شخصی ساز دوخواب,"۱,۶۵۰,۰۰۰,۰۰۰ تومان","مشیریه', 'آژانس املاک",https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D8%AE%D8%A7%D9%86%DB%8C-%D8%A2%D8%A8%D8%A7%D8%AF%D9%86%D9%88-%D8%B4%D8%AE%D8%B5%DB%8C-%D8%B3%D8%A7%D8%B2-%D8%AF%D9%88%D8%AE%D9%88%D8%A7%D8%A8_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%AE%D8%A7%D9%86%DB%8C-%D8%A2%D8%A8%D8%A7%D8%AF-%D9%86%D9%88_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYN5ggJu
13,60متر 2خواب طبقه اول بازسازی شده قصرالدشت,"۱,۶۷۰,۰۰۰,۰۰۰ تومان","مشیریه', 'آژانس املاک",https://divar.ir/v/60%D9%85%D8%AA%D8%B1-2%D8%AE%D9%88%D8%A7%D8%A8-%D8%B7%D8%A8%D9%82%D9%87-%D8%A7%D9%88%D9%84-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C-%D8%B4%D8%AF%D9%87-%D9%82%D8%B5%D8%B1%D8%A7%D9%84%D8%AF%D8%B4%D8%AA_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%B3%D9%84%D8%B3%D8%A8%DB%8C%D9%84_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYLtq330
