,title,price,enterprise,link
0,آپارتمان ۵۹ متری دوخواب خوش نقشه,"۱,۶۰۰,۰۰۰,۰۰۰ تومان",آژانس املاک در سلیمانی,https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B5%DB%B9-%D9%85%D8%AA%D8%B1%DB%8C-%D8%AF%D9%88%D8%AE%D9%88%D8%A7%D8%A8-%D8%AE%D9%88%D8%B4-%D9%86%D9%82%D8%B4%D9%87_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%B3%D9%84%DB%8C%D9%85%D8%A7%D9%86%DB%8C_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYKcT2mt
1,60متر شکوفه 2خواب بازسازی شده,"۱,۶۵۰,۰۰۰,۰۰۰ تومان",آژانس املاک در پیروزی,https://divar.ir/v/60%D9%85%D8%AA%D8%B1-%D8%B4%DA%A9%D9%88%D9%81%D9%87-2%D8%AE%D9%88%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C-%D8%B4%D8%AF%D9%87_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D9%BE%DB%8C%D8%B1%D9%88%D8%B2%DB%8C_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYLwQ4lr
2,۵۶متر در حد ۷۵متر دوخواب بزرگ,"۱,۶۳۰,۰۰۰,۰۰۰ تومان",آژانس املاک در گمرک,https://divar.ir/v/%DB%B5%DB%B6%D9%85%D8%AA%D8%B1-%D8%AF%D8%B1-%D8%AD%D8%AF-%DB%B7%DB%B5%D9%85%D8%AA%D8%B1-%D8%AF%D9%88%D8%AE%D9%88%D8%A7%D8%A8-%D8%A8%D8%B2%D8%B1%DA%AF_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%DA%AF%D9%85%D8%B1%DA%A9_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYLIh8OS
3,۶۳متر کمیل تک واحدی,"۱,۶۵۰,۰۰۰,۰۰۰ تومان",۳ هفته پیش در جیحون,https://divar.ir/v/%DB%B6%DB%B3%D9%85%D8%AA%D8%B1-%DA%A9%D9%85%DB%8C%D9%84-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%AC%DB%8C%D8%AD%D9%88%D9%86_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYLEyRsl
4,آپارتمان 60 متری دو خواب,"۱,۵۱۰,۰۰۰,۰۰۰ تومان",مشاور املاک در جوادیه تهرانپارس,https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-60-%D9%85%D8%AA%D8%B1%DB%8C-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%AC%D9%88%D8%A7%D8%AF%DB%8C%D9%87-%D8%AA%D9%87%D8%B1%D8%A7%D9%86%D9%BE%D8%A7%D8%B1%D8%B3_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYDYTQGZ
5,62متری/پارکینگ دار/مهرآباد,"۱,۵۸۰,۰۰۰,۰۰۰ تومان",آژانس املاک در مهرآباد جنوبی,https://divar.ir/v/62%D9%85%D8%AA%D8%B1%DB%8C-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%AF%D8%A7%D8%B1-%D9%85%D9%87%D8%B1%D8%A2%D8%A8%D8%A7%D8%AF_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D9%85%D9%87%D8%B1%D8%A2%D8%A8%D8%A7%D8%AF-%D8%AC%D9%86%D9%88%D8%A8%DB%8C_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYLg0s43
6,60.04متر / خوش نقشه / هاشمی کارون,"۱,۵۵۵,۰۰۰,۰۰۰ تومان",آژانس املاک در آذربایجان,https://divar.ir/v/60-04%D9%85%D8%AA%D8%B1-%D8%AE%D9%88%D8%B4-%D9%86%D9%82%D8%B4%D9%87-%D9%87%D8%A7%D8%B4%D9%85%DB%8C-%DA%A9%D8%A7%D8%B1%D9%88%D9%86_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%A2%D8%B0%D8%B1%D8%A8%D8%A7%DB%8C%D8%AC%D8%A7%D9%86_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYMgEaIa
7,آپارتمان ۶۱ متری دوخواب,"۱,۶۰۰,۰۰۰,۰۰۰ تومان",۳ هفته پیش در مشیریه,https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B6%DB%B1-%D9%85%D8%AA%D8%B1%DB%8C-%D8%AF%D9%88%D8%AE%D9%88%D8%A7%D8%A8_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D9%85%D8%B4%DB%8C%D8%B1%DB%8C%D9%87_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYMAlw6t
8,آذربایجان خوش طوس57متر2خواب پارکینگ,"۱,۵۵۵,۰۰۰,۰۰۰ تومان",۳ هفته پیش در آذربایجان,https://divar.ir/v/%D8%A2%D8%B0%D8%B1%D8%A8%D8%A7%DB%8C%D8%AC%D8%A7%D9%86-%D8%AE%D9%88%D8%B4-%D8%B7%D9%88%D8%B357%D9%85%D8%AA%D8%B12%D8%AE%D9%88%D8%A7%D8%A8-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%A2%D8%B0%D8%B1%D8%A8%D8%A7%DB%8C%D8%AC%D8%A7%D9%86_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYMAnH3E
9,۶۰ متر/ ۲خواب/ پارکینگ دار/ دامپزشکی,"۱,۶۴۹,۰۰۰,۰۰۰ تومان",آژانس املاک در جیحون,https://divar.ir/v/%DB%B6%DB%B0-%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%AF%D8%A7%D8%B1-%D8%AF%D8%A7%D9%85%D9%BE%D8%B2%D8%B4%DA%A9%DB%8C_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%AC%DB%8C%D8%AD%D9%88%D9%86_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYIAaX7l
