,title,price,enterprise,link
0,63 متر حیاط دار (خوش / کمیل ),"۱,۵۹۰,۰۰۰,۰۰۰ تومان",آژانس املاک در سلسبیل,https://divar.ir/v/63-%D9%85%D8%AA%D8%B1-%D8%AD%DB%8C%D8%A7%D8%B7-%D8%AF%D8%A7%D8%B1-%D8%AE%D9%88%D8%B4-%DA%A9%D9%85%DB%8C%D9%84-_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%B3%D9%84%D8%B3%D8%A8%DB%8C%D9%84_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYU4zxPd
1,62 متری سلسبیل سرمایه گذاری,"۱,۶۰۰,۰۰۰,۰۰۰ تومان",آژانس املاک در سلسبیل,https://divar.ir/v/62-%D9%85%D8%AA%D8%B1%DB%8C-%D8%B3%D9%84%D8%B3%D8%A8%DB%8C%D9%84-%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87-%DA%AF%D8%B0%D8%A7%D8%B1%DB%8C_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%B3%D9%84%D8%B3%D8%A8%DB%8C%D9%84_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYUAEHyx
2,۶۰ متر خیابان خرمشهر شمالی نور نقشه,"۱,۵۳۰,۰۰۰,۰۰۰ تومان",آژانس املاک در سلامت,https://divar.ir/v/%DB%B6%DB%B0-%D9%85%D8%AA%D8%B1-%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86-%D8%AE%D8%B1%D9%85%D8%B4%D9%87%D8%B1-%D8%B4%D9%85%D8%A7%D9%84%DB%8C-%D9%86%D9%88%D8%B1-%D9%86%D9%82%D8%B4%D9%87_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%B3%D9%84%D8%A7%D9%85%D8%AA_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYQkFAN2
3,مخصوص کوچه عارف,"۱,۶۵۰,۰۰۰,۰۰۰ تومان",۲ هفته پیش در مخصوص,https://divar.ir/v/%D9%85%D8%AE%D8%B5%D9%88%D8%B5-%DA%A9%D9%88%DA%86%D9%87-%D8%B9%D8%A7%D8%B1%D9%81_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D9%85%D8%AE%D8%B5%D9%88%D8%B5_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYUEUw2N
4,57 متری اسکندری و آذربایجان,"۱,۵۵۰,۰۰۰,۰۰۰ تومان",آژانس املاک در اسکندری,https://divar.ir/v/57-%D9%85%D8%AA%D8%B1%DB%8C-%D8%A7%D8%B3%DA%A9%D9%86%D8%AF%D8%B1%DB%8C-%D9%88-%D8%A2%D8%B0%D8%B1%D8%A8%D8%A7%DB%8C%D8%AC%D8%A7%D9%86_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%A7%D8%B3%DA%A9%D9%86%D8%AF%D8%B1%DB%8C_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYUIk2d3
5,فروش اپارتمان ۶۰ متر سرمایه گذاری,"۱,۶۲۰,۰۰۰,۰۰۰ تومان",آژانس املاک در آذربایجان,https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B6%DB%B0-%D9%85%D8%AA%D8%B1-%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87-%DA%AF%D8%B0%D8%A7%D8%B1%DB%8C_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%A2%D8%B0%D8%B1%D8%A8%D8%A7%DB%8C%D8%AC%D8%A7%D9%86_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYCARRae
6,60متری فول امکانات/پارکینگ اصلی/2خوابه,"۱,۶۲۰,۰۰۰,۰۰۰ تومان",آژانس املاک در مشیریه,https://divar.ir/v/60%D9%85%D8%AA%D8%B1%DB%8C-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%A7%D8%B5%D9%84%DB%8C-2%D8%AE%D9%88%D8%A7%D8%A8%D9%87_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D9%85%D8%B4%DB%8C%D8%B1%DB%8C%D9%87_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYUw0K3M
7,۶۰متر/دو‌خواب/آهنگ/تک واحدی,"۱,۵۴۰,۰۰۰,۰۰۰ تومان",مشاور املاک در آهنگ,https://divar.ir/v/%DB%B6%DB%B0%D9%85%D8%AA%D8%B1-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8-%D8%A2%D9%87%D9%86%DA%AF-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%A2%D9%87%D9%86%DA%AF_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYU4kZuL
8,۵۶ متر خیابان اجاره دار,"۱,۶۰۰,۰۰۰,۰۰۰ تومان",۲ هفته پیش در خواجه نظام الملک,https://divar.ir/v/%DB%B5%DB%B6-%D9%85%D8%AA%D8%B1-%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86-%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%AF%D8%A7%D8%B1_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%AE%D9%88%D8%A7%D8%AC%D9%87-%D9%86%D8%B8%D8%A7%D9%85-%D8%A7%D9%84%D9%85%D9%84%DA%A9_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYU8IdW4
9,57 متری دو خوابه (شکوفه / پیروزی),"۱,۵۷۰,۰۰۰,۰۰۰ تومان",آژانس املاک در آهنگ,https://divar.ir/v/57-%D9%85%D8%AA%D8%B1%DB%8C-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B4%DA%A9%D9%88%D9%81%D9%87-%D9%BE%DB%8C%D8%B1%D9%88%D8%B2%DB%8C-_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%A2%D9%87%D9%86%DA%AF_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYUQZS3f
