,title,price,enterprise,link
0,70متر/دوخواب/پارکینگ دار/سبحانی,"۱,۷۱۰,۰۰۰,۰۰۰ تومان","جی', 'آژانس املاک",https://divar.ir/v/70%D9%85%D8%AA%D8%B1-%D8%AF%D9%88%D8%AE%D9%88%D8%A7%D8%A8-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%AF%D8%A7%D8%B1-%D8%B3%D8%A8%D8%AD%D8%A7%D9%86%DB%8C_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%AC%DB%8C_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYGN7Lvu
1,واحد ۶۳ متر دو خواب / تک واحد / سرمایه گذاری,"۱,۶۲۰,۰۰۰,۰۰۰ تومان","جی', 'آژانس املاک",https://divar.ir/v/%D9%88%D8%A7%D8%AD%D8%AF-%DB%B6%DB%B3-%D9%85%D8%AA%D8%B1-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF-%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87-%DA%AF%D8%B0%D8%A7%D8%B1%DB%8C_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%AC%DB%8C%D8%AD%D9%88%D9%86_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYEpR8YU
2,۶۰ متر ۲خواب بالای سپه,"۱,۷۰۰,۰۰۰,۰۰۰ تومان","جی', 'آژانس املاک",https://divar.ir/v/%DB%B6%DB%B0-%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D8%A8%D8%A7%D9%84%D8%A7%DB%8C-%D8%B3%D9%BE%D9%87_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%B3%D9%84%D8%B3%D8%A8%DB%8C%D9%84_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYGFsYSr
3,۶۱متر/دوخواب/تک واحدی/باپارکینگ,"۱,۵۵۰,۰۰۰,۰۰۰ تومان","جی', 'آژانس املاک",https://divar.ir/v/%DB%B6%DB%B1%D9%85%D8%AA%D8%B1-%D8%AF%D9%88%D8%AE%D9%88%D8%A7%D8%A8-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D8%A8%D8%A7%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%B4%D9%85%D8%B4%DB%8C%D8%B1%DB%8C_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wY3cfsFf
4,آپارتمان * فول*بالکن*حیاط خلوت,"۱,۶۵۰,۰۰۰,۰۰۰ تومان","جی', 'آژانس املاک",https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D9%81%D9%88%D9%84-%D8%A8%D8%A7%D9%84%DA%A9%D9%86-%D8%AD%DB%8C%D8%A7%D8%B7-%D8%AE%D9%84%D9%88%D8%AA_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D9%85%D8%B3%D8%B9%D9%88%D8%AF%DB%8C%D9%87_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYG14abb
5,آپارتمان ۶۴ متری با حیاط خلوت,"۱,۷۵۰,۰۰۰,۰۰۰ تومان","جی', 'آژانس املاک",https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B6%DB%B4-%D9%85%D8%AA%D8%B1%DB%8C-%D8%A8%D8%A7-%D8%AD%DB%8C%D8%A7%D8%B7-%D8%AE%D9%84%D9%88%D8%AA_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%A7%D9%81%D8%B3%D8%B1%DB%8C%D9%87_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYfkzBXZ
6,آپارتمان ۶۹.۹۹ متر ۱۶ متری امیری سی متری جی,"۱,۷۰۰,۰۰۰,۰۰۰ تومان","جی', 'آژانس املاک",https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B6%DB%B9-%DB%B9%DB%B9-%D9%85%D8%AA%D8%B1-%DB%B1%DB%B6-%D9%85%D8%AA%D8%B1%DB%8C-%D8%A7%D9%85%DB%8C%D8%B1%DB%8C-%D8%B3%DB%8C-%D9%85%D8%AA%D8%B1%DB%8C-%D8%AC%DB%8C_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%B4%D8%A8%DB%8C%D8%B1%DB%8C_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYGlc3XR
7,۵۶ متر ۲خواب تکواحدی خوش نقشه,"۱,۶۳۳,۰۰۰,۰۰۰ تومان","جی', 'آژانس املاک",https://divar.ir/v/%DB%B5%DB%B6-%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D8%AA%DA%A9%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D8%AE%D9%88%D8%B4-%D9%86%D9%82%D8%B4%D9%87_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%AC%DB%8C%D8%AD%D9%88%D9%86_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYGFNcck
8,آپارتمان ۶۵متری دو خوابه,"۱,۵۸۰,۰۰۰,۰۰۰ تومان","جی', 'آژانس املاک",https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B6%DB%B5%D9%85%D8%AA%D8%B1%DB%8C-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8%D9%87_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%D8%B3%D8%B1_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYGdN6zh
9,۷۰ متر دو خوابه ۶۰ متر حیاط اختصاصی,"۱,۵۰۰,۰۰۰,۰۰۰ تومان","جی', 'آژانس املاک",https://divar.ir/v/%DB%B7%DB%B0-%D9%85%D8%AA%D8%B1-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%DB%B6%DB%B0-%D9%85%D8%AA%D8%B1-%D8%AD%DB%8C%D8%A7%D8%B7-%D8%A7%D8%AE%D8%AA%D8%B5%D8%A7%D8%B5%DB%8C_%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86_%D8%AA%D9%87%D8%B1%D8%A7%D9%86_%D8%AC%DB%8C%D8%AD%D9%88%D9%86_%D8%AF%DB%8C%D9%88%D8%A7%D8%B1/wYGh9bJI
